,"Textiles, industries de l'habillement, industrie du cuir et de la chaussure 001562874",Textiles 001563047,Préparation de fibres textiles et filature 001563401,Tissage 001563404,Ennoblissement textile 001563407,Autres textiles 001563410,Industrie de l'habillement 001563050,"Vêtements, autres qu'en fourrure 001563413",Articles à mailles 001563416,Industrie automobile 001562965,Construction de véhicules automobiles 001562980,Carrosseries et remorques 001562983,Equipements automobiles 001562986,Autres matériels de transport 001562967,Navale 001562989,Locomotives et autre matériel ferroviaire roulant 001562992,Aéronautique et spatiale 001563059,Matériels de transport n.c.a. 001563062,"Produits informatiques, électroniques et optiques 001562888",Composants et cartes électroniques 001562745,Ordinateurs et d'équipements périphériques 001562748,Equipements de communication 001562751,Produits électroniques grand public 001562814,"Instruments et d'appareils de mesure, d'essai et de navigation - horlogerie 001562817","Equipements d'irradiation médicale, d'équipements électro médicaux et électro thérapeutiques",Matériels optique et photographique 001562823,Equipements électriques 001562890,"Moteurs, génératrices et transformateurs électriques etmatériel de distribution et de commande électrique",Piles et accumulateurs électriques 001562829,Fils et câbles et matériel d'installation électrique 001562892,Appareils d'éclairage électrique 001562895,Appareils ménagers 001562898,Autres matériels électriques 001562901,Machines et équipements n.c.a. 001562953,Machines d'usage général 001562904,Autres machines d'usage général 001562907,Machines agricoles et forestières 001562910,Machines de formage des métaux et machines-outils 001562974,Autres machines d'usage spécifique 001562977,Industries alimentaires 001563038,Transformation et conservation de la viande et préparation de produits à base de viande  001563291,Transformation et conservation de fruits et légumes 001563294,Fabrication d'huiles et graisses végétales et animales 001563297,Fabrication de produits laitiers 001563340,Travail des grains - fabrication de produits amylacés 001563343,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires 001563346,Fabrication d'autres produits alimentaires001563349,Fabrication d'aliments pour animaux 001563352,Fabrication de boissons 001563041,Fabrication de produits à base de tabac 001563044
1991-09-30,377.334657963,180.609364243,225.01910568,165.048725935,295.886752952,160.561108263,792.999352197,978.555177729,386.927512033,59.565247627,72.105595731,89.186826574,46.557835925,91.339046984,125.572418539,68,82.745123993,118.1,72.432951356,30.380148964,75.562254693,69.9,55.9,136.042750228,102,27.2,104.295425407,121.607992868,102.117447816,75.715608555,57.975429819,125.97098356,96.5,79.900697471,80.190701361,76.10005893,64.64527739,133.5,83.559870838,120.498009256,92.236895807,225.721185252,119.9,76.328121631,82.749835417,121.817708522,76.66407643,90.619213686,90.753139948,212.250152235
1991-10-31,374.50908991,190.491873106,250.570643011,189.205929733,294.045439572,164.977550651,757.276378133,916.191755957,402.515954134,60.926989615,71.488808538,79.658778126,50.058856713,86.497950922,150.941471102,55.7,70.192674015,119.2,78.820508022,24.605570275,45.48294119,101.8,72.4,162.043009607,32.3,61.4,108.302678281,111.756583755,127.839910116,90.471563413,68.16806553,168.178672769,64.8,86.525585983,83.975695834,77.286899077,65.734585187,154.1,105.528787197,113.807918809,95.613825091,110.790148064,140.1,82.578539974,89.773234971,116.540884062,179.566453352,97.400967749,96.16684586,224.215429276
1991-11-30,334.815238561,167.708695369,226.027707677,165.45103849,253.487112224,146.349484744,684.977477764,856.248363518,309.906844368,54.517345285,64.305595731,67.419194326,44.952393307,84.561952689,136.373261613,68.9,70.186500522,107.8,86.528569138,27.66404293,61.334181905,89.4,41.1,188.584094089,68.5,50.2,109.94938845,112.51013804,122.742154025,98.086129264,82.57717743,151.144960211,80,79.800193449,74.462794121,69.975911707,73.372897257,144.6,101.257268272,102.706356883,87.655593035,69.684387262,117.1,79.462123976,85.26962334,114.020565083,193.42780812,90.517736403,100.599957146,204.302234869
1991-12-31,303.86281809,140.366063941,184.22522586,138.365625368,204.305691267,124.426621369,651.354172191,809.884770106,303.145038307,48.052482224,59.66853191,67.072618991,36.341113217,76.089625662,132.814638526,98.6,57.242023003,68.9,107.035609371,27.855167946,157.823085759,112.6,37.9,211.29328088,128.2,50.3,102.025625424,100.963286363,88.779294977,113.358793522,73.501468966,123.148385363,76.9,86.945586037,67.910469668,82.608717101,62.104194327,172.9,123.82757925,79.386079675,90.639385239,44.560701183,100,78.585237461,78.205253816,87.063080669,100.936449661,91.747390553,91.657825983,158.891882394
1992-01-31,361.506670165,171.590353914,245.262359479,171.115707611,253.029469921,148.440421469,748.001592525,921.619432236,361.134899343,56.413879273,67.788808538,65.085849619,45.29134655,103.015638725,137.986806482,139.9,90.08059832,75.4,41.182977246,24.704387826,49.958824337,44.7,43.2,67.255715152,26.5,47.1,99.866056603,120.955461928,113.020755157,69.098022542,52.232673588,113.880148402,72.6,69.695666513,74.2709574,55.658472891,68.162007092,94.7,86.242832649,77.307184746,95.324378597,41.360332805,123.4,85.122428646,81.898389798,95.670801058,67.729486499,102.741997884,68.995587696,210.827995999
1992-02-29,365.059280522,165.00762532,243.14634226,167.602598125,248.154619982,143.568852965,761.057597452,942.33764127,365.742209977,56.592224036,67.342659551,69.996090114,46.16052013,100.905863675,135.806702662,88.5,89.884180474,142.8,45.09078856,23.734101157,41.151035061,46.6,33.1,76.366121086,40.7,44,99.683668868,117.160983149,71.519275682,90.312868485,50.690926026,111.006214957,82.5,74.420988005,78.335067092,56.560960473,69.280175782,115,95.474127181,74.181774528,87.471886229,37.454410424,115.1,83.210311236,74.631311997,121.104241297,75.550794209,91.525240197,62.444021035,219.671422431
1992-03-31,372.942917347,178.099401913,258.650038016,181.247948075,270.185645018,151.955464256,770.820886032,975.249189197,321.325704952,59.118519862,68.432901611,71.584230134,49.611627027,108.914569714,149.366311757,66.1,100.926724768,138.8,65.050942179,26.652786595,75.33368955,82,47.2,99.880449813,96.1,57.8,107.939554281,131.573427855,105.614223645,83.741963016,62.070135457,106.88918534,92.3,84.241057439,83.760572222,68.890663473,84.011499122,119.8,108.799960409,80.088611354,97.379494907,35.84883376,115.4,93.138059213,78.505008466,121.807977914,78.561868871,98.078261971,75.477003633,236.476202424
1992-04-30,340.213780983,174.567023727,255.10426074,174.056987286,265.270191271,148.00883073,658.486649613,769.479554209,410.827127344,59.200900471,70.161502658,81.456031537,47.995809364,77.902521702,83.844745765,68.1,72.854727016,166.5,57.833348349,23.810433386,31.677319069,77.4,38.2,104.122303329,46.1,70.2,97.228852739,107.735336142,66.389696379,78.188538157,54.992899066,134.227181296,73.8,76.882890904,82.518773438,61.873212874,83.444887233,103.5,92.51672783,78.360218778,97.347884277,30.831430376,116,93.923889648,77.168945578,116.53560066,78.050611007,94.141141278,79.491739239,209.876564414
1992-05-31,309.154539344,163.888215421,239.508507453,155.979480466,229.852179826,146.651549797,613.980569482,743.60905706,333.868439669,54.159722323,64.548255282,71.253893017,44.198438229,67.735338356,102.327936729,83.5,50.999728574,144.7,57.91759958,25.602856591,51.124900952,65.2,41.9,99.206686204,72.7,77.7,90.792457829,100.455518479,65.145105109,79.332548364,59.389885159,109.653596938,82,74.89743585,75.476646226,62.151347495,61.883749819,107.4,97.62619628,77.815260041,96.709291884,39.023241815,106.6,94.818546203,74.95949937,114.877115366,71.278708649,87.349984888,102.005546195,189.983022971
1992-06-30,343.92465835,177.634823241,256.355566083,173.263112772,265.17549396,154.368430942,671.965605716,840.648731064,297.952816173,60.130669504,71.625872359,78.288846836,48.479993692,81.349535936,106.460112997,66.2,73.149685425,137.8,84.329003607,26.389897003,80.548203842,104.9,19.2,134.47894827,182.2,72.1,108.108755516,122.914880301,74.197576127,86.977550448,76.554863089,131.172083925,81.6,86.816080943,86.633991505,74.208065601,68.344402352,157.2,107.208225382,101.917567568,98.617214764,136.354487245,112.7,88.109084308,75.70004304,124.501325262,74.893064164,90.905039547,97.918924168,219.141561449
1992-07-31,341.412021469,144.911647138,174.386944175,130.190287073,177.93118263,141.254645098,783.028708386,985.962067402,332.216844583,53.764879724,64.988808538,66.956698549,42.311652698,62.4544527,74.09675597,58.5,55.374220612,144.9,47.273417543,23.024489454,32.221963626,67.3,45.1,76.498459633,46.4,44.7,99.375555343,110.190817258,73.898186064,92.033100646,75.545561799,96.171980996,95.8,75.536638564,75.162208889,63.893148916,54.956831929,127.3,97.517698385,103.435056046,94.456039116,169.904676486,85.8,82.578539974,73.334495673,97.913847363,64.887004432,85.553591811,85.49242301,169.99150888
1992-08-31,193.043032488,67.291173808,93.716272032,60.827935416,94.025745766,62.194146118,448.956111991,573.839017753,176.778261352,18.668692164,13.248255282,22.151998259,25.530148109,61.755658562,54.547557454,38.5,65.896201018,74.2,46.043046867,20.827720639,30.353742657,67.5,23.3,73.637952647,37.5,26.1,74.993544263,75.85626754,70.734778714,72.4116099,68.180814804,78.456376401,87.1,53.411297284,54.910526516,44.061768305,31.097884363,81.3,70.733325164,112.399820059,97.548418061,206.236822029,104.1,77.110848106,73.427629492,89.544178134,62.3431933,86.830044502,76.400072354,68.023805126
1992-09-30,348.280641357,179.020275902,242.613405001,164.828196056,285.452461947,157.732871104,697.932418208,872.863191339,310.232440974,58.748355263,70.425872359,71.954477433,47.18586655,79.478299637,113.471864409,57.1,70.790018153,114.9,67.157956891,28.870150481,62.642883664,62.5,58.7,124.096382411,114.8,24.6,106.529084202,120.25353165,95.524419532,77.82719729,63.79571924,133.635872128,117.9,76.882890904,81.070340674,67.84169,64.226088293,120.7,84.476110926,123.897855351,88.853134095,231.931921411,116.1,78.154926013,81.538347013,145.054861581,87.917944888,91.689549057,78.315535946,223.822823108
1992-10-31,352.585130723,189.193401898,256.731942407,180.546601675,274.382041392,169.34453142,698.860231218,848.970905527,369.037399185,60.191000699,71.66853191,64.666426382,49.455950218,81.409876533,137.930610252,67.6,64.372169728,125.9,70.74623236,24.047627003,46.960657574,80.9,74.9,145.709130099,42.3,55.4,107.944516181,107.286036901,123.950324928,87.654762396,68.387451344,187.582992864,72.2,82.137535196,84.938168552,70.993430818,67.43028219,110.8,98.581179597,114.61302527,90.941181194,115.357141039,118,81.997623251,89.534989305,121.50672158,186.722398428,96.671401656,101.406520194,235.36929254
1992-11-30,317.384291745,170.42993021,231.675878864,160.422131545,252.475187625,152.49777577,626.486602605,775.41513569,300.583289862,53.810638958,64.605595731,53.81442417,44.049331834,81.830884839,121.83754757,128.3,62.793117351,107.2,83.010781526,27.86523597,64.337050419,82.4,45,178.801924503,70.4,45.3,113.483115351,114.531883557,107.550297257,102.539988591,67.654805928,176.521137477,89.1,74.77499235,74.563283722,65.156910614,59.063660033,104.4,94.218530657,101.392200742,90.913408339,72.09422198,109.9,79.057736576,87.184662162,105.615852027,180.498952016,92.750236629,97.046981869,216.020318165
1992-12-31,283.689158059,139.201813216,173.305627159,127.718945253,209.474416434,126.883092357,585.29817265,726.321771202,271.459719431,42.580214964,49.088808538,51.891441375,35.35903371,67.43908038,115.904991789,97.9,49.817300586,70.5,126.62643018,27.965367019,154.14197617,151,38.8,261.550003371,133.6,45.4,106.340673239,101.774822334,87.531808627,123.361441375,69.938664635,135.208217433,85.4,79.991617247,66.645805774,75.20342683,58.161028843,124,112.451950369,83.080759303,90.210823875,45.625307171,94.8,78.95839071,82.390567621,98.986608638,116.541764757,92.254156891,91.508915889,170.569383697
