Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
196,162,224,78,,25,38,328,1166,1246,134,1070,12,65,76,6,138,4,271,102,1563,217,343,36,216,115,167,570,2,47,3590,1140
194,157,202,76,,23,41,328,1131,1222,132,1011,11,61,74,5,141,4,276,104,1493,213,323,34,211,99,165,554,2,45,3356,1220
185,154,224,76,,20,42,313,1102,1222,128,1005,10,57,73,5,143,4,259,100,1486,209,304,30,203,120,159,554,2,47,3343,1260
181,149,223,74,,21,43,314,1049,1223,122,909,10,52,70,5,142,4,260,106,1442,204,286,28,199,135,182,568,3,52,3457,1240
184,146,219,75,,21,48,302,1011,1191,117,925,12,50,67,5,142,4,253,110,1448,207,303,27,198,120,231,575,3,53,3832,1050
206,145,221,78,,25,50,306,975,1191,115,848,12,49,66,5,144,4,234,116,1483,216,237,29,199,106,184,591,2,58,3967,1150
210,146,226,77,,24,48,323,959,1255,114,734,11,49,63,5,149,4,247,104,1502,226,236,31,197,95,172,617,2,53,3634,1170
208,145,231,70,,26,40,294,969,1273,115,1099,9,49,59,5,147,4,255,113,1499,234,216,32,204,99,139,662,1,52,3575,1170
197,149,235,59,,24,38,306,1006,1358,118,1176,8,46,56,5,145,4,258,105,1468,235,268,35,198,93,169,665,3,47,3466,1240
189,150,221,55,,22,39,322,1039,1397,120,1028,9,44,53,5,145,4,255,105,1431,233,246,37,194,102,153,633,1,43,3455,1160
190,151,232,57,,21,41,293,1021,1368,121,990,10,45,50,6,147,4,242,106,1380,235,255,38,195,108,163,630,1,44,3103,1010
191,154,233,71,,19,43,286,1075,1391,122,998,11,47,45,5,150,4,254,102,1321,234,292,41,193,112,191,636,1,43,3399,1090
190,151,208,72,,18,45,328,1090,1360,122,1028,11,47,42,5,150,4,268,105,1249,232,301,41,188,104,171,652,2,44,3293,980
187,148,225,71,,21,45,289,1093,1307,121,908,10,44,42,5,149,5,259,114,1189,222,301,39,184,103,176,656,2,39,3118,1120
184,149,208,65,,19,46,283,1061,1253,118,889,8,40,44,5,147,5,237,100,1137,219,257,35,179,104,180,655,3,41,3064,1140
183,149,190,62,,22,46,293,1030,1220,112,875,8,35,43,5,148,5,236,92,1101,211,248,32,175,134,175,683,4,45,2983,1120
184,152,206,60,,20,53,252,1006,1197,106,774,9,31,43,5,153,5,225,117,1082,215,250,30,173,121,214,716,3,44,3542,1120
203,159,206,60,,20,55,267,993,1223,105,678,9,29,44,5,155,4,206,104,1089,223,271,32,172,94,158,745,2,43,3783,1050
208,160,190,62,,19,55,282,995,1287,105,727,9,30,44,5,157,4,211,101,1096,229,279,31,167,100,158,748,3,41,3505,1100
205,152,205,59,,18,45,259,1009,1240,107,923,7,32,42,5,155,4,219,101,1088,243,263,31,168,95,140,751,2,40,3357,1130
195,142,187,54,,18,42,256,1043,1231,110,953,7,34,38,6,156,4,225,103,1064,248,255,32,163,98,136,734,2,33,3018,1090
189,141,183,53,,17,41,290,1062,1215,110,887,9,34,37,6,153,4,224,105,1035,244,232,32,158,90,133,701,2,26,3097,970
188,140,185,56,,16,43,294,1026,1187,109,791,9,35,40,6,150,4,208,98,996,243,248,32,156,87,131,685,2,28,2806,910
190,143,181,66,1712,15,45,287,1065,1252,110,820,11,32,41,6,146,4,235,94,948,245,250,32,152,95,164,709,2,30,3243,1040
190,136,172,65,1733,12,47,284,1060,1250,108,793,10,32,41,5,145,4,241,112,884,254,279,31,148,98,146,722,1,32,2979,1060
190,126,162,59,1607,14,48,296,1042,1211,106,718,9,32,39,5,144,5,223,94,820,248,257,30,146,100,143,700,2,32,2865,1130
193,116,152,55,1659,12,51,278,1004,1168,102,709,6,34,35,5,141,5,200,109,763,249,241,29,146,90,162,671,2,32,2880,1090
185,111,144,55,1575,14,52,243,969,1130,96,757,6,33,30,4,138,5,202,113,727,243,232,27,148,119,143,684,3,33,2899,1050
173,112,149,57,1610,12,58,268,970,1070,91,701,7,32,28,4,142,4,193,93,713,240,233,26,150,110,202,702,2,33,3395,930
176,121,144,63,1526,12,57,255,972,1053,90,732,9,30,31,4,148,4,182,116,726,240,224,26,154,91,143,732,2,32,3715,890
170,124,144,61,1664,12,53,243,996,1085,90,687,10,30,31,4,152,4,184,102,735,242,218,25,153,86,133,746,3,31,3519,1060
163,120,153,59,1628,11,46,263,1015,1073,92,787,7,28,29,5,149,4,192,96,732,244,212,24,155,86,133,749,2,28,3313,1140
170,113,145,50,1576,12,46,256,1035,1126,94,893,7,27,25,5,152,4,194,93,716,251,211,27,147,82,135,718,2,26,3175,1110
171,108,138,48,1570,12,45,237,1058,1130,96,863,8,27,27,5,156,4,190,97,701,250,195,27,144,83,123,665,1,24,3195,970
173,109,148,44,1557,16,46,267,1050,1076,96,827,8,29,32,5,164,4,172,81,686,238,202,26,144,79,146,638,2,24,3170,910
171,113,138,51,1515,17,45,245,1137,1076,98,950,9,32,40,6,161,4,197,88,669,229,191,27,146,95,158,651,2,26,3425,1000
162,111,136,53,1493,16,45,248,1173,1041,98,931,9,34,41,6,158,4,197,89,631,230,201,25,144,89,149,664,1,29,3292,1020
152,107,131,55,1432,14,47,267,1170,1024,97,820,8,35,38,5,155,4,185,78,595,227,188,24,140,81,146,681,2,29,3376,1130
142,106,113,48,1508,11,47,249,1193,1034,93,882,7,37,30,5,153,4,178,83,568,222,187,24,136,80,134,637,2,29,3168,1170
136,101,107,51,1375,12,52,210,1194,1024,88,920,6,38,27,5,147,3,177,77,558,217,181,23,134,120,142,667,4,33,3617,1070
146,96,133,57,1470,13,61,224,1198,995,84,840,7,37,29,5,147,3,176,69,556,221,193,22,132,102,222,708,2,33,4115,1070
179,93,121,62,1411,17,71,224,1193,984,83,759,8,37,38,5,146,3,159,91,571,218,176,22,129,80,149,773,2,34,4311,1040
191,89,123,55,1491,19,73,227,1231,1035,84,780,7,39,46,5,152,4,159,78,578,234,188,21,123,86,129,804,3,34,4607,1130
181,84,137,49,1317,21,66,221,1304,1048,85,844,7,41,48,6,153,4,174,88,568,237,176,20,123,78,150,821,2,35,4046,1140
170,83,119,44,1270,20,64,240,1426,1135,88,903,6,45,53,6,154,4,175,85,548,236,200,23,118,72,143,807,2,35,4125,1010
161,82,122,48,1291,23,64,239,1526,1193,90,894,7,49,57,6,153,5,175,97,557,231,173,22,117,85,151,779,3,30,4289,1010
168,89,146,53,1331,27,67,252,1570,1182,92,784,8,52,60,6,156,4,165,92,585,245,192,22,120,79,143,779,3,28,4321,1050
180,96,143,56,1332,31,75,287,1720,1225,96,960,9,57,66,6,168,4,188,89,644,251,209,24,128,85,162,840,3,30,5046,1120
182,101,160,64,1474,30,82,260,1823,1240,99,980,10,63,72,6,179,4,194,90,667,251,212,24,134,91,183,893,4,30,5181,1210
176,105,159,61,1387,33,86,277,1887,1245,100,928,10,69,78,6,183,4,192,98,664,253,210,24,139,90,186,890,4,33,5251,1400
164,107,166,68,1373,34,91,286,1875,1255,98,928,10,74,82,6,180,4,190,100,631,255,203,25,140,103,176,893,6,35,5142,1390
154,105,174,74,1288,32,97,244,1848,1252,94,861,10,77,83,6,177,4,189,90,612,248,206,26,144,132,206,927,8,38,5575,1380
160,106,167,80,1352,32,106,271,1807,1197,90,879,11,79,82,6,179,4,190,100,608,248,208,27,149,107,236,956,5,37,6448,1350
189,107,184,83,1418,35,114,299,1790,1190,89,814,11,82,80,6,186,4,183,115,633,259,222,29,154,104,172,970,5,35,6686,1350
