Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
199,171,176,63,,24,55,191,804,1181,112,891,9,53,50,4,161,6,221,110,1469,257,354,36,218,85,183,878,1,57,3684,1680
200,183,171,62,,26,53,173,822,1234,114,909,9,51,55,4,160,7,220,124,1437,260,403,38,211,92,176,881,2,56,3498,1790
199,181,178,60,,26,52,179,836,1270,115,957,11,49,59,4,164,7,220,124,1434,259,401,37,208,106,152,882,4,54,3816,1760
205,181,177,58,,29,53,193,857,1276,115,871,11,48,63,4,170,7,204,108,1443,250,395,35,214,90,184,855,2,53,3854,1640
207,177,197,61,,33,57,188,864,1330,118,873,12,47,63,4,176,8,225,129,1453,247,447,32,215,113,196,894,2,52,4209,1830
211,166,186,59,,27,58,200,856,1316,116,913,12,47,60,4,173,8,224,135,1421,247,480,29,207,116,172,928,2,52,4399,1790
210,158,194,57,,23,58,175,849,1284,114,857,9,47,55,4,170,7,220,129,1379,253,446,28,198,108,196,936,2,55,4137,1770
208,163,161,56,,18,58,161,833,1254,108,778,7,47,46,4,163,7,199,123,1299,245,456,29,187,121,201,924,3,53,3740,1690
201,162,161,51,,22,60,170,800,1208,100,806,7,45,39,4,158,6,192,97,1218,243,438,28,178,141,173,928,6,53,3672,1650
186,161,175,49,,22,63,164,774,1137,95,713,7,42,38,4,158,6,185,104,1161,232,425,27,176,104,207,959,2,48,3799,1660
177,160,157,47,,20,67,136,762,1107,93,686,6,39,43,4,160,6,170,114,1140,233,471,27,176,85,167,994,2,45,3820,1630
168,157,165,49,,18,67,157,781,1162,93,661,6,38,45,4,161,7,168,88,1114,238,438,26,170,84,151,1003,1,39,3580,1630
173,151,171,46,,19,62,160,760,1155,97,761,6,36,44,4,163,7,174,96,1076,252,464,24,171,84,150,980,3,37,3268,1670
181,149,151,45,,23,57,133,761,1222,101,866,7,35,39,4,165,6,173,91,1027,259,442,24,162,88,152,926,3,36,3254,1720
185,150,151,48,,22,55,173,771,1249,101,855,8,35,37,4,166,7,175,91,1002,261,453,24,158,85,146,922,2,33,3479,1620
186,152,160,52,,21,58,182,795,1249,101,709,8,38,38,4,168,7,152,105,996,263,467,25,160,81,155,923,2,33,3684,1530
189,149,144,58,2043,23,62,152,810,1291,103,812,10,44,38,5,167,8,169,103,1006,267,437,27,161,100,167,958,2,33,4406,1600
186,141,138,61,2135,24,65,172,806,1254,102,783,9,47,37,5,171,8,181,112,982,264,457,27,156,99,159,973,1,36,4421,1640
181,133,136,55,2079,23,66,186,806,1199,99,698,8,46,36,4,170,8,174,110,931,260,436,24,150,103,187,961,3,35,4047,1670
182,131,132,53,1831,20,66,146,805,1151,93,635,7,41,34,4,167,7,159,108,876,258,438,21,145,102,148,908,3,35,3651,1600
176,127,127,50,1870,20,66,146,786,1109,88,719,7,37,31,4,159,6,154,100,824,245,400,19,143,113,150,898,6,36,3587,1520
165,123,119,52,1747,20,68,145,786,1049,83,625,7,35,29,4,155,6,149,99,786,237,412,19,145,99,185,922,1,36,3899,1490
176,121,131,58,1895,17,69,138,785,1053,97,674,7,36,29,4,157,6,143,102,777,239,390,21,147,71,132,963,1,36,3841,1450
