Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Turkey,United States,Japan
323,357,347,220,2415,89,355,801,4807,2470,240,1827,32,169,225,11,460,11,400,172,1585,640,630,77,348,237,478,2554,9,92,2272,14410,3150
373,347,349,225,2434,81,364,828,4868,2444,243,1794,33,159,229,11,457,11,401,179,1597,645,643,80,348,192,373,2659,10,92,2251,14429,3120
386,345,336,220,2427,75,364,953,4986,2568,243,1618,33,155,223,11,456,10,398,165,1611,674,654,79,347,177,354,2721,11,88,2240,14009,2950
373,347,343,218,2164,74,340,869,5140,2574,243,2111,34,153,213,12,463,11,442,173,1635,704,654,82,363,180,348,2727,10,92,2127,13520,2770
354,364,338,215,2114,78,338,974,5258,2752,253,2236,35,154,204,12,456,11,458,198,1646,721,655,88,373,186,361,2693,13,88,2157,13102,2890
342,386,330,216,2246,78,339,1048,5306,2858,261,2434,41,155,199,12,455,12,476,214,1680,746,680,89,380,166,352,2596,9,84,2142,12613,2810
340,402,338,221,2224,75,344,1064,5298,2846,274,2437,41,157,205,13,473,11,447,197,1719,778,696,90,384,192,363,2567,10,86,2266,12692,2770
352,419,356,227,2552,76,348,1060,5535,2939,292,2538,47,160,211,13,496,11,511,175,1806,775,676,90,384,203,414,2612,12,89,2348,13541,2910
350,424,387,234,2390,77,349,1132,5703,2896,301,2695,48,166,213,13,507,11,514,227,1825,797,646,87,382,204,407,2611,13,89,2402,13429,2890
344,422,365,233,2213,78,347,1165,5767,2835,301,2909,49,171,214,13,496,11,513,197,1796,809,665,83,378,227,400,2565,13,86,2305,12904,3070
342,421,358,230,2130,69,345,1132,5760,2803,289,2764,48,176,206,12,487,11,511,202,1744,821,631,81,371,226,401,2458,14,86,2123,11910,3160
338,407,351,227,2274,69,349,1151,5755,2777,276,2608,50,171,194,12,472,11,498,205,1708,803,624,81,365,266,431,2471,16,91,1988,12271,2970
338,400,343,221,2140,69,365,1206,5678,2657,266,2591,50,159,190,12,463,11,490,212,1686,798,606,84,370,223,477,2561,10,89,1935,13183,2880
367,400,368,218,2317,68,367,1174,5733,2606,271,2471,56,145,187,12,455,12,495,216,1703,807,623,92,371,192,387,2583,8,86,2020,13400,2880
383,391,387,215,2191,66,361,1236,5816,2734,274,2233,51,140,184,12,454,12,486,223,1721,847,603,94,369,199,381,2585,10,85,2123,12696,2770
388,389,350,212,2086,61,335,1245,5923,2782,284,2664,51,140,185,12,456,12,530,222,1730,855,623,93,375,187,382,2572,9,88,2213,11741,2750
402,405,374,204,2112,61,324,1220,6012,3000,304,3018,51,145,189,13,461,12,539,201,1717,887,599,97,384,183,376,2510,8,89,2221,11741,2710
409,420,399,199,2134,62,317,1325,6062,3125,317,2997,57,146,195,13,459,12,555,217,1751,896,598,94,392,193,392,2441,7,89,2304,11405,2590
415,427,365,209,2153,66,317,1294,5990,3110,328,2807,60,143,194,14,475,10,548,209,1804,922,631,100,395,180,381,2430,10,90,2458,11845,2590
421,451,374,219,2401,69,316,1336,6213,3227,343,3247,70,134,194,15,489,11,615,239,1934,928,641,109,399,228,421,2533,10,95,2552,13180,2730
415,458,418,223,2450,68,316,1338,6321,3172,347,3260,71,133,189,15,495,11,634,241,1962,927,652,112,397,231,427,2506,8,103,2539,12499,2770
409,460,386,217,2273,63,319,1334,6300,3102,341,3151,67,127,191,15,466,11,645,251,1936,913,673,111,390,236,448,2457,12,105,2496,11814,2820
406,458,363,201,2154,56,323,1363,6183,3050,329,3124,67,120,180,14,453,12,634,225,1879,889,693,108,381,239,445,2403,12,106,2366,11013,2930
397,434,382,195,2140,55,330,1331,6048,2983,308,3071,65,113,167,14,441,12,630,212,1808,866,641,104,377,300,417,2445,14,104,2263,11302,2810
395,419,339,192,2201,54,337,1289,5911,2870,293,2882,68,111,168,14,440,12,635,210,1748,842,700,100,383,217,484,2491,12,100,2240,12248,2630
432,416,355,203,2156,52,328,1320,5912,2810,292,2739,71,119,159,15,435,12,642,241,1731,841,616,98,381,183,382,2559,7,103,2370,12083,2570
436,407,388,205,2078,53,314,1326,5937,2894,290,2690,71,122,162,14,430,12,637,223,1712,820,641,96,378,191,377,2553,8,103,2482,11462,2730
430,412,366,194,2110,55,289,1315,5981,2939,301,3036,69,121,158,15,425,12,675,238,1700,813,634,92,387,199,382,2465,10,101,2527,10884,2600
422,432,337,191,2101,57,279,1294,6029,3033,322,3246,66,114,156,15,404,12,679,226,1667,815,648,95,387,194,374,2322,9,97,2470,10773,2650
418,442,369,186,2075,59,274,1378,5979,3131,334,3323,72,113,167,15,399,12,676,242,1693,808,639,95,386,209,382,2269,8,97,2497,10271,2510
423,445,360,206,2043,58,278,1339,5800,3104,342,3058,70,116,179,17,384,11,660,228,1741,795,659,100,386,205,380,2242,8,103,2582,9984,2270
436,446,347,208,2305,60,283,1311,5942,3193,357,3480,71,117,184,17,370,11,716,257,1864,785,656,109,388,221,436,2217,12,98,2805,10854,2400
431,432,363,213,2266,57,284,1393,5938,3150,364,3502,72,120,185,16,364,11,730,248,1874,788,648,110,385,241,432,2189,8,99,2825,10893,2340
423,421,364,196,2227,54,280,1322,5920,3059,360,3350,75,119,181,16,357,11,717,264,1801,776,665,105,376,252,440,2104,11,95,2747,10537,2480
415,400,322,186,2134,52,277,1281,5775,2960,342,3217,67,113,171,15,357,12,694,229,1681,758,638,98,363,241,445,2000,11,97,2579,9079,2560
402,379,316,182,2002,48,278,1315,5632,2911,318,3237,64,105,166,15,359,12,670,223,1578,729,600,94,354,296,413,1991,14,92,2551,9442,2440
398,366,317,184,2008,47,284,1245,5461,2809,299,2819,67,101,160,15,356,12,641,255,1495,718,635,92,352,258,492,2004,9,97,2654,9893,2470
431,371,300,191,1945,48,286,1220,5424,2784,295,3003,72,105,141,15,343,12,626,251,1450,708,607,94,353,193,380,2014,6,99,2867,10307,2490
434,368,338,192,2110,51,279,1233,5416,2929,292,2705,70,106,136,15,331,12,604,231,1422,689,629,94,351,197,388,2017,9,104,2944,9787,2340
430,368,300,187,2045,49,253,1235,5443,2963,297,3211,66,104,129,16,317,12,630,254,1406,687,610,93,349,218,371,1999,8,101,3064,8963,2360
428,363,286,181,2017,45,240,1224,5516,3116,317,3499,63,102,136,16,321,12,634,235,1387,699,613,96,347,220,389,1889,9,104,3043,8680,2350
425,356,325,180,2106,43,233,1221,5478,3240,327,3702,73,101,148,17,318,11,635,246,1407,698,638,95,345,215,380,1773,6,98,3096,8630,2210
427,345,305,182,1913,44,233,1292,5379,3197,334,3037,73,99,160,18,330,11,619,246,1436,709,604,97,344,232,360,1753,8,103,3145,8332,2120
437,350,316,188,2068,45,236,1263,5464,3249,350,3243,77,97,150,18,346,11,674,243,1521,719,655,99,348,230,430,1794,8,111,3259,9498,2330
437,346,327,193,2209,44,236,1239,5459,3189,354,3316,77,101,146,18,348,11,664,254,1515,713,663,97,341,268,433,1799,8,122,3226,9095,2270
435,352,308,195,2025,46,234,1315,5412,3106,343,3361,73,103,141,18,338,11,653,256,1446,691,646,95,329,272,414,1751,8,124,3069,8682,2300
426,349,275,186,2033,48,233,1215,5293,3028,319,3101,64,98,140,17,320,11,635,261,1346,659,649,94,312,280,432,1744,11,122,2821,7967,2350
