,"Textiles, industries de l'habillement, industrie du cuir et de la chaussure 001562874",Textiles 001563047,Préparation de fibres textiles et filature 001563401,Tissage 001563404,Ennoblissement textile 001563407,Autres textiles 001563410,Industrie de l'habillement 001563050,"Vêtements, autres qu'en fourrure 001563413",Articles à mailles 001563416,Industrie automobile 001562965,Construction de véhicules automobiles 001562980,Carrosseries et remorques 001562983,Equipements automobiles 001562986,Autres matériels de transport 001562967,Navale 001562989,Locomotives et autre matériel ferroviaire roulant 001562992,Aéronautique et spatiale 001563059,Matériels de transport n.c.a. 001563062,"Produits informatiques, électroniques et optiques 001562888",Composants et cartes électroniques 001562745,Ordinateurs et d'équipements périphériques 001562748,Equipements de communication 001562751,Produits électroniques grand public 001562814,"Instruments et d'appareils de mesure, d'essai et de navigation - horlogerie 001562817","Equipements d'irradiation médicale, d'équipements électro médicaux et électro thérapeutiques",Matériels optique et photographique 001562823,Equipements électriques 001562890,"Moteurs, génératrices et transformateurs électriques etmatériel de distribution et de commande électrique",Piles et accumulateurs électriques 001562829,Fils et câbles et matériel d'installation électrique 001562892,Appareils d'éclairage électrique 001562895,Appareils ménagers 001562898,Autres matériels électriques 001562901,Machines et équipements n.c.a. 001562953,Machines d'usage général 001562904,Autres machines d'usage général 001562907,Machines agricoles et forestières 001562910,Machines de formage des métaux et machines-outils 001562974,Autres machines d'usage spécifique 001562977,Industries alimentaires 001563038,Transformation et conservation de la viande et préparation de produits à base de viande  001563291,Transformation et conservation de fruits et légumes 001563294,Fabrication d'huiles et graisses végétales et animales 001563297,Fabrication de produits laitiers 001563340,Travail des grains - fabrication de produits amylacés 001563343,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires 001563346,Fabrication d'autres produits alimentaires001563349,Fabrication d'aliments pour animaux 001563352,Fabrication de boissons 001563041,Fabrication de produits à base de tabac 001563044
1993-05-31,306.856393301,153.270115805,196.215100912,141.384267383,224.488655401,139.879598498,622.257068209,785.712502437,302.651826458,48.032910441,56.629715631,48.195822414,42.200364481,78.712146787,112.620686359,97.23188723,62.792304283,107.352151675,63.893889412,26.489174072,80.12502678,70.322517585,38.455886918,112.432260131,75.627493011,39.449162615,99.534107302,106.493826031,85.365630206,83.62051785,62.35685332,133.919603373,106.990586725,70.544112487,70.383871588,59.838601839,58.362997205,91.449369111,93.575890706,90.657841037,92.849224695,89.190290525,92.273753283,86.297995967,81.004615345,103.203790625,88.246517902,91.106633781,85.457864285,179.831033628
1993-06-30,299.069168247,152.678794188,193.101597367,141.496019613,220.746544216,139.618133328,594.110185182,741.641767763,293.509933022,48.193147924,54.95405967,47.566078789,42.057154663,74.64260336,112.683135154,96.681466451,59.720586617,107.738091787,62.257808435,26.087033564,75.891570935,70.508340196,38.083317973,108.146991204,76.942197841,37.101392974,100.159581131,106.615288596,85.377311652,84.480747277,63.058662951,134.232331548,102.725429465,70.230939098,69.535097112,58.99181493,63.426502102,95.553583668,93.68195501,92.044914848,98.38254092,88.891004936,92.521450712,86.866373753,80.837994806,103.914630042,89.470143786,94.741601593,84.407940944,176.873176601
1993-07-31,313.072679246,152.465850795,179.693816859,138.130049941,225.795890542,140.603328536,643.485528974,765.926196736,348.296855794,47.431295139,53.290885228,46.856681201,41.583365083,73.873303403,115.187102389,65.981991641,60.876128039,107.977531162,64.544471961,26.707563107,79.546384244,72.262420552,39.598966796,113.306095347,79.066290469,39.266874497,97.340140948,102.430487088,88.05985115,80.759588016,63.252544135,129.758775587,99.318914566,69.478425302,69.348349289,60.730557571,64.799407704,94.836444658,84.504608932,91.204284597,92.858248155,88.923551712,88.301919029,87.445973337,80.959729476,102.07729781,89.504829018,95.916893946,83.21739592,172.401383223
1993-08-31,313.953414697,147.065501767,174.540199825,137.398664117,225.357411664,131.398109043,651.125578215,794.691131119,224.164172404,39.851119956,53.591872827,45.947760988,41.519577108,79.491961063,114.031686185,116.103840865,63.35556166,123.364887181,64.876087873,27.755313303,81.549552276,72.54305077,39.425134087,112.559968391,79.299791064,36.69420352,97.009993213,101.726837143,89.7085344,80.87036291,63.723671679,128.888057939,101.019932306,69.12606578,71.996774537,60.735999148,48.763843384,94.460354509,81.342693045,91.733958159,92.425348281,89.067988318,102.712928396,87.493544759,82.437582552,108.4184335,91.397769001,93.867053113,87.878171001,197.328590914
1993-09-30,302.978919357,149.24156558,183.467267803,140.165851787,217.633124104,136.055032666,615.665266056,744.614836406,290.809909877,43.61597582,48.630238469,46.7976834,41.49200423,77.147914462,117.511360062,97.080292916,61.105385846,110.100767499,66.301504887,27.631574631,85.007562992,77.889646895,36.726277484,113.584540305,78.437512287,34.662990646,98.262844839,103.383199719,84.070472204,82.872016895,64.098484046,131.269879254,99.176252496,69.275755029,69.752702379,60.826245659,60.774888646,93.348812088,83.614058479,92.692374552,93.978959201,89.079323061,98.603859363,86.646973997,82.154914384,113.582717996,98.817913378,96.783449394,89.217300552,180.983508286
1993-10-31,295.429282356,147.112391277,214.195741342,140.190424605,225.447202371,128.994197202,597.857368713,733.145477844,309.943299218,43.789876419,45.686252378,47.918307171,41.248313811,76.322921704,118.510829921,71.849217599,61.49326093,104.679456398,69.314814201,27.557860434,92.726227191,82.72080262,36.358439773,119.989865797,74.977743584,30.9380647,97.102135478,101.078795828,85.484290879,80.325906717,68.088727829,130.881729006,88.825647542,69.442195352,70.976986533,60.49164839,58.163579331,73.917123306,87.996753198,92.536899197,93.083936753,89.687198157,96.87646165,86.428180982,81.958182078,106.885180509,92.271116937,97.211351529,84.016008255,181.339672687
1993-11-30,288.33415898,146.122213267,215.39328982,138.898789626,219.411702259,128.657009145,580.841795041,726.082548715,287.442141768,44.789123305,47.603814941,47.582942697,41.089034908,76.668122521,115.874512662,95.589759419,59.6753209,107.250420613,60.125073911,28.052679106,94.186407601,61.100948388,35.506418284,98.358274695,75.40726898,26.878009544,98.224555089,102.870578827,89.2202003,87.486669262,63.370174453,127.148214674,93.290162285,69.082576377,69.68849879,60.478980884,52.690723156,73.431610734,86.720299132,91.743117501,92.403889932,89.717990981,97.973760575,86.74878658,82.5475593,104.779720877,90.547293936,95.585042319,82.920187029,164.047867985
1993-12-31,289.319820682,151.229572636,228.973718162,142.619214887,251.018642785,128.366780547,570.412676219,689.509792459,317.013694748,47.315134821,53.469107399,47.162140082,40.915803435,77.514684782,117.156073982,101.479212916,59.418824091,103.725337521,63.851421118,27.981706178,97.329997268,74.478256131,34.724875383,105.688465917,73.400021012,26.612028967,97.495195233,103.516020616,85.988180132,80.293074576,64.808573763,134.683470936,94.828755063,69.826097517,71.411640483,60.461895025,61.218242671,71.16911819,86.605325055,94.112081271,89.072512171,89.738224339,96.975499186,87.512404593,82.098618808,113.997685196,98.649460322,97.186876958,86.943854966,185.393960108
1994-01-31,325.813791791,153.301629462,242.770486887,142.917599077,247.467066642,131.372749005,682.987277881,865.913586529,303.932974171,47.713671727,52.706093427,47.488472213,41.599296655,79.421205634,119.251932538,95.46446211,62.670876682,115.105520703,62.839918045,29.974426339,93.175644752,66.934441214,35.805378254,99.211704487,76.023919368,54.075885224,98.848648922,105.055618119,85.123571896,82.661189914,69.397064026,139.008547981,80.286878365,70.972364183,72.086081625,60.967149406,63.373374723,73.785862881,91.44031771,93.148403544,94.682833088,89.851680693,98.081796874,87.381571705,82.252221448,109.690160805,92.890470995,96.753693469,85.987393827,191.364622331
1994-02-28,317.86726663,153.841943508,233.23398979,142.620699805,233.533600318,134.270863976,659.770693301,838.277493726,293.808578828,47.776696152,51.696672173,47.45556571,41.366648894,80.179458504,118.312745766,103.88034523,63.853021761,115.049339968,65.210318497,29.553798867,86.836033535,77.68016402,33.647649692,100.463658402,121.322754581,53.536586645,98.721850864,103.480662487,79.973717746,87.96142716,65.888264486,134.115623236,78.745701184,71.127746577,71.911753681,61.279960085,64.233484934,72.804169101,88.847396086,92.719566167,93.450302517,89.804996821,88.761211796,87.314564701,81.677387544,105.89225721,91.888295371,97.973592024,77.715593592,176.975150394
